,price,retail_price,currency_buyer,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_rating_count,merchant_rating,merchant_has_profile_picture,theme,crawl_month
0,16.0,14,EUR,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,0,0,0,0,50,Livraison standard,4,0,34,50,1.0,Quantité limitée !,CN,568,4.128521126760563,0,summer,2020-08
1,8.0,22,EUR,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,0,0,0,0,50,Livraison standard,2,0,41,50,1.0,Quantité limitée !,CN,17752,3.8996732762505633,0,summer,2020-08
2,8.0,43,EUR,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,0,0,0,0,1,Livraison standard,3,0,36,50,1.0,Quantité limitée !,CN,295,3.9898305084745758,0,summer,2020-08
3,8.0,8,EUR,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,0,0,0,0,50,Livraison standard,2,0,41,50,,,CN,23832,4.020434709634105,0,summer,2020-08
4,2.72,3,EUR,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,1,Livraison standard,1,0,35,50,1.0,Quantité limitée !,CN,14482,4.001588178428394,0,summer,2020-08
5,3.92,9,EUR,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,Livraison standard,1,0,40,50,,,CN,65,3.507692307692308,0,summer,2020-08
6,7.0,6,EUR,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,0,0,0,0,50,Livraison standard,2,0,31,50,,,CN,10194,4.076515597410241,1,summer,2020-08
7,12.0,11,EUR,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,0,0,0,0,50,Livraison standard,3,0,139,50,,,CN,342,3.681286549707602,0,summer,2020-08
8,11.0,84,EUR,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,0,0,0,0,50,Livraison standard,2,0,36,50,1.0,Quantité limitée !,CN,330,3.803030303030303,0,summer,2020-08
9,5.78,22,EUR,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,0,0,0,0,50,Livraison standard,2,0,33,50,,,CN,5534,3.999819298879653,0,summer,2020-08
10,5.79,5,EUR,1000,0,3.46,613,245.0,101.0,81.0,61.0,125.0,0,0,0,0,2,Livraison standard,2,0,25,50,1.0,Quantité limitée !,CN,9470,3.9568109820485744,0,summer,2020-08
11,6.0,8,EUR,100,1,3.31,13,3.0,4.0,3.0,0.0,3.0,0,0,0,0,2,Livraison standard,2,0,40,50,1.0,Quantité limitée !,CN,3515,3.983783783783784,0,summer,2020-08
12,1.91,6,EUR,1000,1,3.45,141,49.0,29.0,24.0,14.0,25.0,0,0,0,0,1,Envio Padrão,1,0,38,50,,,CN,557,4.123877917414721,0,summer,2020-08
13,5.79,42,EUR,1000,0,3.32,121,36.0,24.0,23.0,19.0,19.0,0,0,0,0,50,Livraison standard,2,0,43,50,,,CN,5083,3.9474719653747785,0,summer,2020-08
14,2.0,2,EUR,20000,1,3.65,2457,984.0,481.0,459.0,206.0,327.0,0,0,0,0,1,Livraison standard,1,0,36,50,,,CN,55499,4.138885385322259,0,summer,2020-08
15,11.0,81,EUR,1000,0,3.92,426,204.0,94.0,62.0,21.0,45.0,0,0,0,0,50,Livraison standard,3,0,41,50,,,CN,39381,4.0663264010563465,0,summer,2020-08
16,11.0,10,EUR,10000,0,3.72,2058,840.0,435.0,386.0,158.0,239.0,0,0,0,0,50,Livraison standard,2,0,34,50,,,CN,6302,3.9584258965407813,0,summer,2020-08
17,5.0,25,EUR,100000,1,3.83,17980,8290.0,3483.0,2951.0,1410.0,1846.0,0,0,0,0,50,Livraison standard,1,0,41,50,1.0,Quantité limitée !,CN,139223,3.933581376640354,0,summer,2020-08
18,9.0,9,EUR,20000,0,3.82,5479,2456.0,1162.0,853.0,431.0,577.0,0,0,0,0,50,Livraison standard,3,0,43,50,,,CN,22089,4.081624337905745,0,summer,2020-08
19,7.0,7,EUR,1000,0,3.67,214,87.0,36.0,49.0,17.0,25.0,0,0,0,0,7,Livraison standard,2,0,41,50,1.0,Quantité limitée !,CN,3592,4.062360801781737,0,summer,2020-08
20,11.0,10,EUR,5000,0,3.84,1183,506.0,274.0,216.0,81.0,106.0,0,0,0,0,50,Livraison standard,3,0,69,50,,,CN,23609,4.256597060443052,0,summer,2020-08
21,5.0,6,EUR,20000,0,3.6,3552,1437.0,632.0,610.0,358.0,515.0,0,0,0,0,11,Livraison standard,2,0,41,50,,,CN,12913,3.981336637497096,1,summer,2020-08
22,11.0,26,EUR,1000,0,3.38,72,27.0,11.0,11.0,8.0,15.0,0,0,0,0,2,Livraison standard,2,0,51,50,,,CN,4516,4.231842338352524,0,summer,2020-08
23,7.0,6,EUR,5000,1,3.67,510,213.0,98.0,85.0,45.0,69.0,0,0,0,0,50,Livraison standard,2,0,138,50,1.0,Quantité limitée !,CN,96838,4.264658501827795,0,summer,2020-08
24,5.71,5,EUR,1000,0,3.75,678,290.0,145.0,104.0,61.0,78.0,0,0,0,0,19,Livraison standard,2,0,43,50,,,CN,80093,4.006692220293909,0,summer,2020-08
25,9.0,32,EUR,1000,0,4.15,567,323.0,116.0,58.0,28.0,42.0,0,0,0,0,50,Livraison standard,3,0,41,50,,,CN,9395,4.1100585417775415,0,summer,2020-08
26,9.0,9,EUR,1000,0,4.03,216,105.0,48.0,39.0,12.0,12.0,0,0,0,0,5,Livraison standard,3,0,60,50,,,US,4298,4.22940902745463,0,summer,2020-08
27,5.65,5,EUR,20000,0,4.29,2996,1781.0,628.0,374.0,104.0,109.0,1,0,1,0,50,Livraison standard,2,0,43,50,1.0,Quantité limitée !,CN,40943,4.017487726839753,0,summer,2020-08
28,1.74,2,EUR,100,1,4.25,12,7.0,3.0,1.0,0.0,1.0,0,0,0,0,50,Livraison standard,1,0,41,50,,,CN,18138,3.831513948616165,0,summer,2020-08
29,5.65,6,EUR,1000,0,4.06,301,156.0,70.0,34.0,18.0,23.0,0,0,0,0,50,Livraison standard,2,0,54,50,,,CN,7034,4.060278646573784,0,summer,2020-08
30,14.0,76,EUR,100,0,4.06,31,17.0,4.0,6.0,3.0,1.0,0,0,0,0,50,Livraison standard,4,0,36,50,1.0,Quantité limitée !,CN,51369,3.9682688002491777,1,summer,2020-08
31,5.65,6,EUR,1000,1,4.37,217,137.0,42.0,24.0,9.0,5.0,1,0,1,0,10,Livraison standard,2,0,38,50,,,CN,44837,4.065905390637197,0,summer,2020-08
32,8.0,7,EUR,1000,0,3.81,443,215.0,76.0,65.0,29.0,58.0,0,0,0,0,4,Livraison standard,2,0,46,50,,,CN,3460,3.8708092485549135,0,summer,2020-08
33,2.66,3,EUR,5000,0,3.44,1136,418.0,187.0,201.0,133.0,197.0,0,0,0,0,50,Livraison standard,1,0,22,50,,,CN,223392,4.3063628061882255,0,summer,2020-08
34,9.0,8,EUR,10000,0,3.8,1231,555.0,240.0,211.0,87.0,138.0,0,0,0,0,50,Standart Gönderi,3,0,45,50,,,CN,10600,3.8675471698113206,0,summer,2020-08
35,11.0,10,EUR,1000,0,4.16,274,162.0,47.0,34.0,10.0,21.0,1,0,1,0,50,Livraison standard,3,0,31,50,,,CN,13946,4.000143410296859,0,summer,2020-08
36,8.0,17,EUR,100,1,2.75,8,2.0,0.0,3.0,0.0,3.0,0,0,0,0,50,Livraison standard,3,0,40,50,,,CN,47981,4.025364206665138,0,summer,2020-08
37,14.0,12,EUR,5000,1,4.06,643,365.0,109.0,73.0,33.0,63.0,0,0,0,0,2,Livraison standard,3,0,43,50,,,CN,80093,4.006692220293909,0,summer,2020-08
38,5.8,8,EUR,100,1,3.83,6,3.0,1.0,1.0,0.0,1.0,0,0,0,0,1,Livraison standard,1,0,43,50,,,CN,16741,3.920852995639448,0,summer,2020-08
39,13.0,13,EUR,1000,0,4.16,138,82.0,27.0,10.0,7.0,12.0,1,0,1,0,50,Livraison standard,3,0,41,50,1.0,Quantité limitée !,CN,12913,3.981336637497096,1,summer,2020-08
40,9.0,81,EUR,50000,0,4.26,5359,3111.0,1172.0,650.0,204.0,222.0,1,0,1,0,50,Livraison standard,3,0,40,50,,,CN,59198,4.105054224804892,0,summer,2020-08
41,7.0,68,EUR,10,0,1.5,2,0.0,0.0,0.0,1.0,1.0,0,0,0,0,50,Livraison standard,2,0,43,50,,,CN,397,3.8589420654911835,0,summer,2020-08
42,12.0,14,EUR,100,1,3.79,24,11.0,6.0,2.0,1.0,4.0,0,0,0,0,50,Standardversand,3,0,22,50,,,CN,196,4.020408163265306,0,summer,2020-08
43,3.69,40,EUR,100,0,3.53,59,22.0,11.0,12.0,4.0,10.0,0,0,0,0,2,Livraison standard,1,0,24,50,1.0,Quantité limitée !,CN,10917,4.3648438215627,0,summer,2020-08
44,5.0,5,EUR,10000,1,3.82,3208,1467.0,607.0,558.0,241.0,335.0,1,1,0,0,50,Livraison standard,1,0,63,50,1.0,Quantité limitée !,CN,27055,4.151395305858436,0,summer,2020-08
45,5.84,56,EUR,100,0,3.28,36,11.0,4.0,11.0,4.0,6.0,0,0,0,0,50,Livraison standard,1,0,43,50,,,CN,40943,4.017487726839753,0,summer,2020-08
46,16.0,14,EUR,10,0,3.0,3,0.0,2.0,0.0,0.0,1.0,0,0,0,0,2,Livraison standard,4,0,34,50,,,CN,31,3.548387096774193,0,summer,2020-08
47,13.0,50,EUR,1000,0,4.03,855,451.0,165.0,120.0,51.0,68.0,0,0,0,0,50,Livraison standard,3,0,32,50,,,CN,9136,4.085704903677758,1,summer,2020-08
48,9.0,8,EUR,10000,0,3.18,1783,535.0,289.0,344.0,189.0,426.0,0,0,0,0,50,Livraison standard,3,0,24,50,1.0,Quantité limitée !,CN,10474,3.908535421042582,0,summer,2020-08
49,7.0,6,EUR,100,0,3.8,61,28.0,11.0,12.0,2.0,8.0,0,0,0,0,50,Livraison standard,2,0,45,50,1.0,Quantité limitée !,CN,139607,4.2163859978367855,0,summer,2020-08
50,11.0,20,EUR,100,0,3.43,14,5.0,3.0,2.0,1.0,3.0,0,0,0,0,50,Livraison standard,2,0,34,50,1.0,Quantité limitée !,CN,3120,4.174679487179486,0,summer,2020-08
51,5.84,11,EUR,1000,0,4.19,307,171.0,71.0,35.0,12.0,18.0,0,0,0,0,1,Livraison standard,1,0,40,50,,,CN,10377,4.172785968969837,0,summer,2020-08
52,1.0,11,EUR,1000,1,3.8,5,3.0,0.0,1.0,0.0,1.0,0,0,0,0,37,Livraison standard,1,0,41,50,,,CN,8197,3.858118823959985,0,summer,2020-08
53,11.0,60,EUR,1000,1,3.38,37,15.0,3.0,9.0,1.0,9.0,0,0,0,0,49,Livraison standard,2,0,25,50,1.0,Quantité limitée !,CN,703,3.9601706970128014,0,summer,2020-08
54,9.0,8,EUR,5000,1,4.03,889,464.0,178.0,126.0,52.0,69.0,0,0,0,0,50,Envío normal,3,0,33,50,,,CN,16013,4.1088490601386365,0,summer,2020-08
55,6.0,56,EUR,1000,1,3.5,938,349.0,171.0,173.0,88.0,157.0,0,0,0,0,1,Livraison standard,2,0,28,50,,,CN,13309,3.876699977458863,0,summer,2020-08
56,1.0,10,EUR,100,0,3.56,52,22.0,8.0,9.0,3.0,10.0,0,0,0,0,2,Livraison standard,1,0,40,50,1.0,Quantité limitée !,,91631,3.83793694273772,1,summer,2020-08
57,9.0,8,EUR,5000,0,4.06,743,400.0,142.0,103.0,45.0,53.0,0,0,0,0,50,Livraison standard,3,0,41,50,1.0,Quantité limitée !,CN,20681,3.9993714037038823,1,summer,2020-08
58,6.0,6,EUR,100,0,4.0,8,5.0,0.0,1.0,2.0,0.0,0,0,0,0,5,Livraison standard,2,0,23,50,,,CN,127,3.874015748031496,0,summer,2020-08
59,11.0,68,EUR,1000,0,4.13,211,120.0,37.0,31.0,8.0,15.0,0,0,0,0,50,Livraison standard,2,0,40,50,,,CN,11597,4.2152280762266106,0,summer,2020-08
60,7.0,6,EUR,50,0,4.0,4,3.0,0.0,0.0,0.0,1.0,0,0,0,0,50,Livraison standard,2,0,139,50,1.0,Quantité limitée !,CN,34,4.352941176470588,0,summer,2020-08
61,5.0,38,EUR,50,1,5.0,2,2.0,0.0,0.0,0.0,0.0,0,0,0,0,17,Livraison standard,1,0,33,50,,,CN,9,3.6666666666666665,0,summer,2020-08
62,2.72,3,EUR,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,1,Livraison standard,1,0,35,50,,,CN,14482,4.001588178428394,0,summer,2020-08
63,5.87,11,EUR,1000,1,3.91,209,100.0,41.0,34.0,17.0,17.0,0,0,0,0,6,Livraison standard,1,0,29,50,1.0,Quantité limitée !,CN,6187,4.391304347826087,0,summer,2020-08
64,11.0,10,EUR,5000,0,3.72,1008,447.0,201.0,135.0,81.0,144.0,0,0,0,0,50,Livraison standard,2,0,25,50,,,CN,61895,4.268002261895145,1,summer,2020-08
65,8.0,10,EUR,100,0,2.71,7,1.0,1.0,2.0,1.0,2.0,0,0,0,0,4,Livraison standard,3,0,20,50,,,CN,224,3.8928571428571432,0,summer,2020-08
66,14.0,67,EUR,1000,0,3.81,187,84.0,40.0,28.0,14.0,21.0,0,0,0,0,50,Livraison standard,4,0,40,50,,,CN,11900,4.150756302521009,1,summer,2020-08
67,2.0,9,EUR,100,0,3.47,32,11.0,6.0,5.0,7.0,3.0,0,0,0,0,1,Livraison standard,1,0,40,50,,,CN,4856,4.167627677100494,0,summer,2020-08
68,8.0,7,EUR,10000,1,3.93,1670,823.0,340.0,250.0,89.0,168.0,0,0,0,0,50,Livraison standard,3,0,30,50,,,CN,66644,4.137581777804454,1,summer,2020-08
69,5.79,30,EUR,1000,1,3.41,212,73.0,49.0,23.0,25.0,42.0,0,0,0,0,50,Livraison standard,2,0,118,50,,,CN,21012,4.189843898724538,1,summer,2020-08
70,8.0,22,EUR,100,1,3.74,47,24.0,5.0,6.0,6.0,6.0,0,0,0,0,50,Livraison standard,3,0,41,50,,,CN,50593,3.876761607336984,0,summer,2020-08
71,4.94,5,EUR,10000,1,3.93,1331,659.0,255.0,199.0,101.0,117.0,0,0,0,0,6,Livraison standard,1,0,49,50,,,CN,55670,4.1214837434884135,1,summer,2020-08
72,8.0,7,EUR,10000,0,3.82,2520,1220.0,433.0,365.0,203.0,299.0,0,0,0,0,50,Livraison standard,3,0,14,50,1.0,Quantité limitée !,CN,8821,3.872009976193176,0,summer,2020-08
73,11.0,10,EUR,100,1,3.46,50,20.0,7.0,8.0,6.0,9.0,0,0,0,0,50,Livraison standard,3,0,41,50,,,CN,225438,4.301120485454981,0,summer,2020-08
74,8.0,33,EUR,10,0,5.0,0,,,,,,0,0,0,0,50,Livraison standard,2,0,25,50,,,CN,1496,4.1697860962566855,0,summer,2020-08
75,9.0,33,EUR,50,1,4.5,4,2.0,2.0,0.0,0.0,0.0,0,0,0,0,50,Livraison standard,3,0,41,50,,,CN,8397,4.120281052756937,0,summer,2020-08
76,7.0,6,EUR,100,0,4.26,53,30.0,14.0,5.0,1.0,3.0,0,0,0,0,50,Livraison standard,2,0,31,50,1.0,Quantité limitée !,CN,2055,3.8379562043795623,1,summer,2020-08
77,11.0,10,EUR,10000,0,4.24,1045,644.0,183.0,114.0,38.0,66.0,0,0,0,0,50,Livraison standard,3,0,36,50,,,CN,9200,4.289673913043479,0,summer,2020-08
78,8.0,92,EUR,100,0,3.56,16,6.0,5.0,0.0,2.0,3.0,0,0,0,0,50,Livraison standard,2,0,55,50,,,CN,7076,3.968061051441493,0,summer,2020-08
79,5.83,5,EUR,10000,1,4.22,2055,1162.0,488.0,212.0,83.0,110.0,0,0,0,0,1,Standardowa wysyłka,1,0,35,50,,,CN,126370,4.14695734747171,1,summer,2020-08
80,8.0,7,EUR,1000,0,3.42,373,144.0,57.0,60.0,35.0,77.0,0,0,0,0,50,Livraison standard,2,0,63,50,,,CN,1322,3.965204236006052,0,summer,2020-08
81,5.77,5,EUR,100,1,4.0,4,1.0,2.0,1.0,0.0,0.0,0,0,0,0,45,Livraison standard,1,0,31,50,1.0,Quantité limitée !,CN,8996,3.915740329035127,0,summer,2020-08
